分类: 📡卫视频道, 名称: 安徽卫视, 有效: 6, IPv4: 13, IPv6: 0, 最小延迟: 15 ms, 最高速率: 24.75 MiB/s, 平均速率: 7.25 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 17 ms, 最高速率: 19.82 MiB/s, 平均速率: 12.21 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 14 ms, 最高速率: 31.65 MiB/s, 平均速率: 14.18 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 14, IPv6: 0, 最小延迟: 21 ms, 最高速率: 5.03 MiB/s, 平均速率: 3.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 2, IPv4: 22, IPv6: 0, 最小延迟: 14 ms, 最高速率: 14.23 MiB/s, 平均速率: 9.55 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 4, IPv4: 29, IPv6: 0, 最小延迟: 21 ms, 最高速率: 21.32 MiB/s, 平均速率: 13.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 21 ms, 最高速率: 33.97 MiB/s, 平均速率: 14.68 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 海南卫视, 有效: 1, IPv4: 31, IPv6: 0, 最小延迟: 21 ms, 最高速率: 8.25 MiB/s, 平均速率: 8.25 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 19, IPv6: 0, 最小延迟: 21 ms, 最高速率: 17.52 MiB/s, 平均速率: 4.38 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 3, IPv4: 45, IPv6: 0, 最小延迟: 25 ms, 最高速率: 5.41 MiB/s, 平均速率: 2.33 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
